pred,gt
60.050533,73.0
137.30853,168.0
93.923874,114.0
114.23337,114.0
102.108086,90.0
112.58905,71.0
112.787224,114.0
130.90463,141.0
88.354485,114.0
67.3988,70.0
107.96251,125.0
142.0115,175.0
66.22238,82.0
115.28188,130.0
109.072266,141.0
120.06967,71.0
143.31335,170.0
119.8949,173.0
98.18497,124.0
115.43569,98.0
108.36501,142.0
122.32401,170.0
89.20531,134.0
107.92617,132.0
94.21176,112.0
101.591995,106.0
73.593216,90.0
86.85639,102.0
96.15648,109.0
88.776054,79.0
110.14466,101.0
126.51206,79.0
92.382904,85.0
94.49751,118.0
62.77546,87.0
81.32495,78.0
128.01904,140.0
112.84111,103.0
98.04379,111.0
80.81419,90.0
98.080475,84.0
70.59895,91.0
70.84696,139.0
102.83626,158.0
80.242455,134.0
104.65331,138.0
90.80316,107.0
96.99802,119.0
66.607544,83.0
112.58232,119.0
96.02303,117.0
117.220955,121.0
104.83923,117.0
74.48734,101.0
129.78862,122.0
103.89885,105.0
66.627625,77.0
101.673386,99.0
108.10066,91.0
84.87327,79.0
107.92257,78.0
82.56244,89.0
81.44476,100.0
129.57327,141.0
93.217865,98.0
74.54643,76.0
109.27944,93.0
129.16306,137.0
113.72326,96.0
111.60203,154.0
89.03676,86.0
67.32385,106.0
125.36718,108.0
133.18181,126.0
92.43419,114.0
123.20457,119.0
90.411316,80.0
101.35191,101.0
94.509026,120.0
113.99621,126.0
59.590393,100.0
87.50001,80.0
68.08382,86.0
112.559166,121.0
164.72491,164.0
87.00189,97.0
127.177734,179.0
72.68477,74.0
100.37713,103.0
78.928474,89.0
100.34567,85.0
92.30423,125.0
126.23702,132.0
87.724785,91.0
64.10207,82.0
99.58701,109.0
115.82689,122.0
93.95941,114.0
101.84642,125.0
58.395195,100.0
103.8215,130.0
68.913605,89.0
76.22868,81.0
91.09482,86.0
74.78975,77.0
100.00652,88.0
91.99016,130.0
150.14542,167.0
80.1662,88.0
113.64597,100.0
90.56123,109.0
90.614494,113.0
108.339325,143.0
115.521965,105.0
75.333954,109.0
84.69174,85.0
81.65219,82.0
131.55487,110.0
140.53699,132.0
88.91577,126.0
123.61401,93.0
93.59035,96.0
85.292854,94.0
108.40054,131.0
119.49454,108.0
70.2487,114.0
118.50289,123.0
147.77351,109.0
109.772415,96.0
101.03286,97.0
158.75233,177.0
78.2446,75.0
114.19753,96.0
114.69501,112.0
121.78126,136.0
127.85351,110.0
80.387405,108.0
67.34039,94.0
93.962296,96.0
154.95276,143.0
130.87585,127.0
96.00423,126.0
170.19417,135.0
99.035385,77.0
132.89478,153.0
118.113556,122.0
76.84382,90.0
125.52986,146.0
76.79079,128.0
72.00076,70.0
163.18475,176.0
123.770706,120.0
86.90085,107.0
115.19778,151.0
78.600334,93.0
106.79459,95.0
91.429214,126.0
103.806656,114.0
104.70886,108.0
74.277725,97.0
140.91663,163.0
99.99184,83.0
117.04995,126.0
100.326294,77.0
97.64006,92.0
92.76579,85.0
98.49338,132.0
97.67403,139.0
85.26158,100.0
88.71797,114.0
150.01653,148.0
74.114395,78.0
99.78328,75.0
89.10162,98.0
87.89644,123.0
108.606575,136.0
86.42069,89.0
135.05112,128.0
100.69173,105.0
88.02722,87.0
164.9884,139.0
99.58081,121.0
108.28916,111.0
74.58898,106.0
55.082363,98.0
102.72333,104.0
90.18654,90.0
65.22324,82.0
106.371376,96.0
85.69703,118.0
87.21348,130.0
74.447174,73.0
86.346924,90.0
114.51699,174.0
111.04191,106.0
112.57252,125.0
